BIZRNO,ENT_NM,HDQTR_KOR_ADRS,HDQTR_KOR_DETAIL_ADRS,HDQTR_LEGAL_CD,HOMP_URL
0200000040,제60보병사단,"경기 고양시 덕양구 백양로 132 (화정동, 고양덕양우체국)",,4128112300,
0200000041,지효초등학교,"경기 고양시 덕양구 오부자로 115 (지축동, 지효초등학교)",,4128110900,
0200000042,고양생활문화센터,"경기 고양시 일산동구 중앙로 1286 (마두동, 고양아람누리)",아람마슬 지하1층,4128510500,
0200000043,고양환경에너지시설,경기 고양시 일산동구 경의로 115 (백석동),,4128510600,
0200000044,동국대학교일산병원,"경기 고양시 일산동구 동국로 27 (식사동, 동국대학교 일산병원(일산한방병원))",,4128510100,
0200000045,사회복지법인홀트아동복지회,"경기 고양시 일산서구 탄현로 42 (탄현동, 홀트학교)",,4128710300,http://www.holt.sc.kr/?main
0200000046,육군제30기갑여단,"경기 고양시 덕양구 호국로 1172-1 (원당동, 한빛마을아파트)",30기갑여단,4128110200,
0200000047,고양일산우체국,"경기 고양시 일산동구 중앙로 1293 (장항동, 고양일산우체국)",,4128510400,
0200000048,고양덕양우체국,"경기 고양시 덕양구 백양로 132 (화정동, 고양덕양우체국)",,4128112300,
0200000049,경인지방국가데이터처고양사무소,"경기 고양시 덕양구 화중로104번길 50 (화정동, 정부고양지방합동청사)",,4128112300,
0200000050,홀트학교,"경기 고양시 일산서구 탄현로 42 (탄현동, 홀트학교)",,4128710300,
0200000051,경기북서부FTA통상진흥센터,"경기 고양시 일산서구 킨텍스로 217-59 (대화동, 제2킨텍스)",605호,4128710400,
0200000052,학교법인밝은학원,경기 고양시 일산서구 대화로37번길 104-9 (법곳동),,4128710800,
0200011132,고양시상하수도사업소,"경기 고양시 덕양구 고양시청로 11 (주교동, 고양시티타운)",,4128110100,http://water.goyang.go.kr/index.do
0200011244,고양시향동종합사회복지관,경기 고양시 덕양구 향기5로 55 (향동동),,4128113200,https://www.hdcwc.or.kr/
0200011333,홀트일산복지타운,경기 고양시 일산서구 탄현로 42 (탄현동),,4128710300,http://www.holtilsan.or.kr/
0200012154,육군 제2573부대," (벽제동, 비호APT)",,4128111400,
0200012156,고양시남자단기청소년쉼터 둥지,경기 고양시 일산동구 견달산로161번길 77 (식사동),,4128510100,http://www.teenteen.or.kr/include/php/main.php
0200012548,육군 제 7163부대,경기 고양시 덕양구 벽제동 사서함 111-7 (벽제동),,4128111400,
0200013131,고양시재활스포츠센터,"경기 고양시 일산서구 탄현로 139 (탄현동, 고양시장애인복지관/ 고양시재활스포츠센터)",,4128710300,https://www.gosports.or.kr/
0200013144,고양시아동청소년정신건강복지센터,"경기 고양시 일산동구 중앙로 1228 (마두동, KT고양지사)",2층,4128510500,http://www.goyangwithus.co.kr/
0200013467,고양시덕양행신장애인주간보호센터,"경기 고양시 덕양구 서정마을2로 13 (행신동, 덕양종합사회복지관)",,4128112800,http://www.gdhdcc.or.kr/html/index/
0200021545,고양시립합창단,"경기 고양시 덕양구 어울림로 33 (성사동, 고양어울림누리)",,4128110600,https://www.choralegoyang.or.kr/city/main.asp
0200022553,법원공무원교육원,"경기 고양시 일산동구 호수로 523 (장항동, 법원공무원교육원)",,4128510400,https://edu.scourt.go.kr/main/new/Main.work
0200031113,일산동부경찰서,"경기 고양시 일산동구 중앙로 1338 (정발산동, 일산동부경찰서)",,4128510300,https://ggbpolice.go.kr/is/mainPage.do
0200031229,고양시설문동장애인직업재활원,"경기 고양시 일산동구 장진천길46번길 89-12 (설문동, 장애인재활자립장)",,4128511100,http://www.smdworkplace.or.kr/
0200031646,고양경찰서,"경기 고양시 덕양구 화중로 12 (화정동, 고양경찰서)",,4128112300,https://ggbpolice.go.kr/gy/mainPage.do
0200031667,경기고양아동보호전문기관,"경기 고양시 덕양구 중앙로557번길 11 (행신동, 삼정플라자)",7층,4128112800,http://www.goyang1391.kr/main/?load_popup=1&PHPSESSID=c0ba0d5e9c03c6eec6dfff9892e6b611
0200033213,고양시내유동커뮤니티센터,"경기 고양시 덕양구 유산길 96 (내유동, 내유동 커뮤니티센터)",,4128111900,http://naeyu1004.or.kr/index.php
0200036471,고양YWCA,"경기 고양시 일산서구 주엽로 134 (주엽동, 일산시대프라자)",5층,4128710200,http://www.kyywca.or.kr/
0200036911,경기북서부해바라기센터,"경기 고양시 덕양구 화정로 65-1 (화정동, 우리프라자)",501호,4128112300,http://www.gnwsunflower.or.kr/
0200041211,육군 제2731부대,경기 고양시 덕양구 혜음로 142 (고양동),,4128111600,
0200043179,고양실버인력뱅크,경기 고양시 일산동구 무궁화로 106 (정발산동),2층,4128510300,http://gysilver.com/
0200044545,고양시치매노인주간보호센터,경기 고양시 덕양구 용현로 42 (행신동),,4128112800,http://gysilver.or.kr/
0200044777,육군 제 3630부대,경기 고양시 덕양구 서리골길 184-1 (선유동),,4128111500,
0200044967,일산동구 치매안심센터,"경기 고양시 일산동구 중앙로 1228 (마두동, KT고양지사)",,4128510500,https://ilsandonggu.nid.or.kr/main/main.aspx
0200048777,조선왕릉서부지구관리소,"경기 고양시 덕양구 서오릉로 334-32 (용두동, 서오릉관리사무소 및 역사문화관)",,4128111300,http://royaltombs.cha.go.kr/cha/idx/SubIndex.do?mn=RT
0200054545,고양시지속가능발전협의회,"경기 고양시 덕양구 고양시청로 10 (주교동, 고양시청)",문예회관 뒤 1층,4128110100,http://www.goyang21.or.kr/
0200054687,한국경진학교,"경기 고양시 일산동구 일산로 341 (마두동, 한국경진학교)",,4128510500,http://www.kj.sc.kr/main.php
0200055555,육군 제3976부대,,,,https://www.army.mil.kr/webapp/user/indexMain.do?siteId=army
0200081421,육군 제7789부대,경기 고양시 덕양구 벽제동 사서함 111-7 (벽제동),,4128111400,
0200555555,고양시중독관리통합지원센터,"경기 고양시 일산동구 일산로 86 (백석동, (재)한국중독연구재단)",1층 고양시중독관리통합지원센터,4128510600,http://www.gamc.or.kr/
0200589745,중부지방고용노동청 고양지청,"경기 고양시 덕양구 화중로104번길 50 (화정동, 정부고양지방합동청사)",6층,4128112300,https://www.moel.go.kr/local/goyang/index.do
0244654674,고양시문촌7종합사회복지관,"경기 고양시 일산서구 킨텍스로 340 (주엽동, 문촌마을7단지아파트)",,4128710200,https://www.mc7sw.or.kr/
0245614869,고양시흰돌종합사회복지관,"경기 고양시 일산동구 장백로 61 (백석동, 흰돌마을4단지아파트)",,4128510600,https://heendol.or.kr/
0249874897,고양시일산종합사회복지관,"경기 고양시 일산서구 고양대로 654 (일산동, 일산종합사회복지관)",,4128710100,https://www.ilsanwelfare.or.kr/
0254561651,고양시니어클럽,"경기 고양시 일산서구 대화로 142-20 (대화동, 고양시 노인일자리센터)",,4128710400,http://www.goyangsenior.com/#1
0287445135,고양시청소년상담복지센터,"경기 고양시 덕양구 중앙로633번길 25 (토당동, 고양시청소년수련관)",2층,4128112000,https://www.gcyf.or.kr/sb/
0287465465,고양시일산노인종합복지관,"경기 고양시 일산동구 호수로 731 (장항동, 일산노인종합복지관)",,4128510400,https://ilsansenior.org/
0298486489,고양고용노동지청,"경기 고양시 덕양구 화중로104번길 50 (화정동, 정부고양지방합동청사)",6층,4128112300,http://www.moel.go.kr/local/goyang/index.do
0300000001,과천시청,"경기 과천시 관문로 69 (중앙동, 과천시청)",,4129010700,http://www.gccity.go.kr/main/main.do
0300000002,과천시육아종합지원센터,"경기 과천시 별양로 182 (부림동, 가족여성프라자)",4층,4129011000,http://www.educaregc.or.kr/
0300000003,과천시여성비전센터,"경기 과천시 별양로 182 (부림동, 가족여성프라자)",4층,4129011000,
0300000004,과천시장애인체육회,"경기 과천시 중앙로 294 (관문동, 관문체육공원)",1층,4129010100,
0300000005,과천시청소년상담복지센터,"경기 과천시 참마을로 9 (문원동, 청소년수련관)",1층,4129010200,
0300000006,과천시체육회,"경기 과천시 중앙로 294 (관문동, 관문체육공원)",1층,4129010100,
